to,from,value
8490,48944,0
8444,48944,0
5690,48944,0
8443,48944,0
8348,48944,0
26520,48944,0
5670,48944,0
8430,48944,0
8401,48944,0
8370,48944,0
8477,48944,0
5680,48944,0
8439,48944,0
8400,48944,0
8412,48944,0
8372,48944,0
22756,48944,0
5693,48944,0
62598,48944,0
48997,48944,0
49002,48944,0
8494,48944,0
62596,48944,0
5682,48944,0
49000,48944,0
3293,48944,0
8354,48944,0
21790,48944,0
22491,48944,0
48999,48944,0
48998,48944,0
48985,48944,0
49001,48944,0
21791,48944,0
8365,48944,0
48961,48944,0
48962,48944,0
48964,48944,0
48966,48944,0
48967,48944,0
48968,48944,0
48969,48944,0
48970,48944,0
21792,48944,0
48972,48944,0
48973,48944,0
48974,48944,0
48975,48944,0
21797,48944,0
48976,48944,0
21796,48944,0
48977,48944,0
50167,48944,0
48978,48944,0
8323,48944,0
21798,48944,0
26523,48944,0
offshore,48944,0
5675,50170,0
48944,50170,0
50170,50170,0
8475,50170,0
5676,50170,0
8340,50170,0
8435,50170,0
8488,50170,0
48971,50170,0
8474,50170,0
8359,50170,0
8373,50170,0
33176,50170,0
8322,50170,0
8358,50170,0
8411,50170,0
8406,50170,0
8452,50170,0
8460,50170,0
8337,50170,0
8450,50170,0
49003,50170,0
8398,50170,0
8484,50170,0
48948,50170,0
8423,50170,0
48946,50170,0
8476,50170,0
8397,50170,0
8328,50170,0
26518,50170,0
48980,50170,0
48950,50170,0
8371,50170,0
8491,50170,0
48953,50170,0
8356,50170,0
48984,50170,0
8462,50170,0
48954,50170,0
8453,50170,0
8469,50170,0
8385,50170,0
5678,50170,0
8471,50170,0
8405,50170,0
8369,50170,0
8316,50170,0
8312,50170,0
8429,50170,0
5688,50170,0
8454,50170,0
8311,50170,0
8413,50170,0
8360,50170,0
8380,50170,0
48956,50170,0
5696,50170,0
8467,50170,0
8332,50170,0
5683,50170,0
5672,50170,0
8461,50170,0
8355,50170,0
33185,50170,0
48955,50170,0
8392,50170,0
8362,50170,0
8349,50170,0
8478,50170,0
21787,50170,0
8338,50170,0
8326,50170,0
5686,50170,0
33179,50170,0
8459,50170,0
8758,50170,0
8333,50170,0
8361,50170,0
8482,50170,0
8350,50170,0
5689,50170,0
8493,50170,0
8378,50170,0
8396,50170,0
8448,50170,0
8352,50170,0
21803,50170,0
5679,50170,0
5692,50170,0
8426,50170,0
8425,50170,0
5697,50170,0
8346,50170,0
8455,50170,0
8446,50170,0
26521,50170,0
48947,50170,0
21789,50170,0
8486,50170,0
8386,50170,0
5673,50170,0
8470,50170,0
8465,50170,0
5668,50170,0
8473,50170,0
8419,50170,0
8389,50170,0
8310,50170,0
33177,50170,0
8404,50170,0
8468,50170,0
8456,50170,0
8464,50170,0
8327,50170,0
8388,50170,0
8381,50170,0
8319,50170,0
8368,50170,0
8438,50170,0
8403,50170,0
8408,50170,0
8451,50170,0
8324,50170,0
8463,50170,0
48952,50170,0
8479,50170,0
8390,50170,0
8481,50170,0
8325,50170,0
8375,50170,0
8428,50170,0
8440,50170,0
8407,50170,0
8345,50170,0
8366,50170,0
8317,50170,0
8420,50170,0
48943,50170,0
8308,50170,0
33178,50170,0
8424,50170,0
8357,50170,0
8383,50170,0
26522,50170,0
21788,50170,0
8492,50170,0
5681,50170,0
8318,50170,0
8489,50170,0
5685,50170,0
48945,50170,0
8331,50170,0
8343,50170,0
48957,50170,0
8416,50170,0
48982,50170,0
8314,50170,0
8351,50170,0
8431,50170,0
8367,50170,0
8334,50170,0
8437,50170,0
8483,50170,0
8384,50170,0
8363,50170,0
5677,50170,0
8341,50170,0
8472,50170,0
8409,50170,0
8402,50170,0
8414,50170,0
33181,50170,0
8353,50170,0
8347,50170,0
8495,50170,0
8421,50170,0
8442,50170,0
8387,50170,0
8391,50170,0
8433,50170,0
8417,50170,0
8309,50170,0
33180,50170,0
48951,50170,0
5684,50170,0
26524,50170,0
8394,50170,0
8321,50170,0
26526,50170,0
5691,50170,0
5674,50170,0
48965,50170,0
8315,50170,0
62589,50170,0
8339,50170,0
8393,50170,0
8313,50170,0
8382,50170,0
8374,50170,0
5695,50170,0
8447,50170,0
8441,50170,0
8480,50170,0
5687,50170,0
5669,50170,0
8466,50170,0
26582,50170,0
8485,50170,0
8376,50170,0
8379,50170,0
8457,50170,0
8415,50170,0
8487,50170,0
26519,50170,0
8427,50170,0
8364,50170,0
8445,50170,0
8449,50170,0
26517,50170,0
8395,50170,0
8418,50170,0
8432,50170,0
5694,50170,0
8490,50170,0
8444,50170,0
5690,50170,0
8443,50170,0
8348,50170,0
26520,50170,0
5670,50170,0
8430,50170,0
8401,50170,0
8370,50170,0
8477,50170,0
5680,50170,0
8439,50170,0
8400,50170,0
8412,50170,0
8372,50170,0
22756,50170,0
5693,50170,0
62598,50170,0
48997,50170,0
49002,50170,0
8494,50170,0
62596,50170,0
5682,50170,0
49000,50170,0
3293,50170,0
8354,50170,0
21790,50170,0
22491,50170,0
48999,50170,0
48998,50170,0
48985,50170,0
49001,50170,0
21791,50170,0
8365,50170,0
48961,50170,0
48962,50170,0
48964,50170,0
48966,50170,0
48967,50170,0
48968,50170,0
48969,50170,0
48970,50170,0
21792,50170,0
48972,50170,0
48973,50170,0
48974,50170,0
48975,50170,0
21797,50170,0
48976,50170,0
21796,50170,0
48977,50170,0
50167,50170,0
48978,50170,0
8323,50170,0
21798,50170,0
26523,50170,0
offshore,50170,0
5675,8475,0
48944,8475,0
50170,8475,0
8475,8475,3483
5676,8475,0
8340,8475,0
8435,8475,0
8488,8475,0
48971,8475,0
8474,8475,0
8359,8475,0
8373,8475,0
33176,8475,0
8322,8475,0
8358,8475,0
8411,8475,0
8406,8475,0
8452,8475,0
8460,8475,0
8337,8475,0
8450,8475,0
49003,8475,0
8398,8475,0
8484,8475,0
48948,8475,0
8423,8475,0
48946,8475,0
8476,8475,0
8397,8475,0
8328,8475,0
26518,8475,0
48980,8475,0
48950,8475,0
8371,8475,0
8491,8475,0
48953,8475,0
8356,8475,0
48984,8475,0
8462,8475,0
48954,8475,0
8453,8475,0
8469,8475,0
8385,8475,0
5678,8475,0
8471,8475,0
8405,8475,0
8369,8475,0
8316,8475,0
8312,8475,0
8429,8475,0
5688,8475,0
8454,8475,0
8311,8475,0
8413,8475,0
8360,8475,0
8380,8475,0
48956,8475,0
5696,8475,0
8467,8475,0
8332,8475,0
5683,8475,0
5672,8475,0
8461,8475,0
8355,8475,0
33185,8475,0
48955,8475,0
8392,8475,0
8362,8475,0
8349,8475,0
8478,8475,0
21787,8475,0
8338,8475,0
8326,8475,0
5686,8475,0
33179,8475,0
8459,8475,0
8758,8475,0
8333,8475,0
8361,8475,0
8482,8475,0
8350,8475,0
5689,8475,0
8493,8475,0
8378,8475,0
8396,8475,0
8448,8475,0
8352,8475,0
21803,8475,0
5679,8475,0
5692,8475,0
8426,8475,0
8425,8475,0
5697,8475,0
8346,8475,0
8455,8475,0
8446,8475,0
26521,8475,0
48947,8475,0
21789,8475,0
8486,8475,0
8386,8475,0
5673,8475,0
8470,8475,0
8465,8475,0
5668,8475,0
8473,8475,0
8419,8475,0
8389,8475,0
8310,8475,0
33177,8475,0
8404,8475,0
8468,8475,0
8456,8475,0
8464,8475,0
8327,8475,0
8388,8475,0
8381,8475,0
8319,8475,0
8368,8475,0
8438,8475,0
8403,8475,0
8408,8475,0
8451,8475,0
8324,8475,0
8463,8475,0
48952,8475,0
8479,8475,0
8390,8475,0
8481,8475,0
8325,8475,0
8375,8475,0
8428,8475,0
8440,8475,0
8407,8475,0
8345,8475,0
8366,8475,0
8317,8475,0
8420,8475,0
48943,8475,0
8308,8475,0
33178,8475,0
8424,8475,0
8357,8475,0
8383,8475,0
26522,8475,0
21788,8475,0
8492,8475,0
5681,8475,0
8318,8475,0
8489,8475,0
5685,8475,0
48945,8475,0
8331,8475,0
8343,8475,0
48957,8475,0
8416,8475,0
48982,8475,0
8314,8475,0
8351,8475,0
8431,8475,0
8367,8475,0
8334,8475,0
8437,8475,0
8483,8475,0
8384,8475,0
8363,8475,0
5677,8475,0
8341,8475,0
8472,8475,0
8409,8475,0
8402,8475,0
8414,8475,0
33181,8475,0
8353,8475,0
8347,8475,0
8495,8475,0
8421,8475,0
8442,8475,0
8387,8475,0
8391,8475,0
8433,8475,0
8417,8475,0
8309,8475,0
33180,8475,0
48951,8475,0
5684,8475,0
26524,8475,0
8394,8475,0
8321,8475,0
26526,8475,0
5691,8475,0
5674,8475,0
48965,8475,0
8315,8475,0
62589,8475,0
8339,8475,0
8393,8475,0
8313,8475,0
8382,8475,0
8374,8475,0
5695,8475,0
8447,8475,0
8441,8475,0
8480,8475,0
5687,8475,0
5669,8475,0
8466,8475,0
26582,8475,0
8485,8475,0
8376,8475,0
8379,8475,0
8457,8475,0
8415,8475,0
8487,8475,0
26519,8475,0
8427,8475,0
8364,8475,0
8445,8475,0
8449,8475,0
26517,8475,0
8395,8475,0
8418,8475,0
8432,8475,0
5694,8475,0
8490,8475,0
8444,8475,0
5690,8475,0
8443,8475,0
8348,8475,0
26520,8475,0
5670,8475,0
8430,8475,0
8401,8475,0
8370,8475,0
8477,8475,0
5680,8475,0
8439,8475,0
8400,8475,0
8412,8475,0
8372,8475,0
22756,8475,0
5693,8475,0
62598,8475,0
48997,8475,0
49002,8475,0
8494,8475,0
62596,8475,0
5682,8475,0
49000,8475,0
3293,8475,0
8354,8475,0
21790,8475,0
22491,8475,0
48999,8475,0
48998,8475,0
48985,8475,0
49001,8475,0
21791,8475,0
8365,8475,0
48961,8475,0
48962,8475,0
48964,8475,0
48966,8475,0
48967,8475,0
48968,8475,0
48969,8475,0
48970,8475,0
21792,8475,0
48972,8475,0
48973,8475,0
48974,8475,0
48975,8475,0
21797,8475,0
48976,8475,0
21796,8475,0
48977,8475,0
50167,8475,0
48978,8475,0
8323,8475,0
21798,8475,0
26523,8475,0
offshore,8475,0
5675,5676,0
48944,5676,0
50170,5676,0
8475,5676,0
5676,5676,0
8340,5676,0
8435,5676,0
8488,5676,0
48971,5676,0
8474,5676,0
8359,5676,0
8373,5676,0
33176,5676,0
8322,5676,0
8358,5676,0
8411,5676,0
8406,5676,0
8452,5676,0
8460,5676,0
8337,5676,0
8450,5676,0
49003,5676,0
8398,5676,0
8484,5676,0
48948,5676,0
8423,5676,0
48946,5676,0
8476,5676,0
8397,5676,0
8328,5676,0
26518,5676,0
48980,5676,0
48950,5676,0
8371,5676,0
8491,5676,0
48953,5676,0
8356,5676,0
48984,5676,0
8462,5676,0
48954,5676,0
8453,5676,0
8469,5676,0
8385,5676,0
5678,5676,0
8471,5676,0
8405,5676,0
8369,5676,0
8316,5676,0
8312,5676,0
8429,5676,0
5688,5676,0
8454,5676,0
8311,5676,0
8413,5676,0
8360,5676,0
8380,5676,0
48956,5676,0
5696,5676,0
8467,5676,0
8332,5676,0
5683,5676,0
5672,5676,0
8461,5676,0
8355,5676,0
33185,5676,0
48955,5676,0
8392,5676,0
8362,5676,0
8349,5676,0
8478,5676,0
21787,5676,0
8338,5676,0
8326,5676,0
5686,5676,0
33179,5676,0
8459,5676,0
8758,5676,0
8333,5676,0
8361,5676,0
8482,5676,0
8350,5676,0
5689,5676,0
8493,5676,0
8378,5676,0
8396,5676,0
8448,5676,0
8352,5676,0
21803,5676,0
5679,5676,0
5692,5676,0
8426,5676,0
8425,5676,0
5697,5676,0
8346,5676,0
8455,5676,0
8446,5676,0
26521,5676,0
48947,5676,0
21789,5676,0
8486,5676,0
8386,5676,0
5673,5676,0
8470,5676,0
8465,5676,0
5668,5676,0
8473,5676,0
8419,5676,0
8389,5676,0
8310,5676,0
33177,5676,0
8404,5676,0
8468,5676,0
8456,5676,0
8464,5676,0
8327,5676,0
8388,5676,0
8381,5676,0
8319,5676,0
8368,5676,0
8438,5676,0
8403,5676,0
8408,5676,0
8451,5676,0
8324,5676,0
8463,5676,0
48952,5676,0
8479,5676,0
8390,5676,0
8481,5676,0
8325,5676,0
8375,5676,0
8428,5676,0
8440,5676,0
8407,5676,0
8345,5676,0
8366,5676,0
8317,5676,0
8420,5676,0
48943,5676,0
8308,5676,0
33178,5676,0
8424,5676,0
8357,5676,0
8383,5676,0
26522,5676,0
21788,5676,0
8492,5676,0
5681,5676,0
8318,5676,0
8489,5676,0
5685,5676,0
48945,5676,0
8331,5676,0
8343,5676,0
48957,5676,0
8416,5676,0
48982,5676,0
8314,5676,0
8351,5676,0
8431,5676,0
8367,5676,0
8334,5676,0
8437,5676,0
8483,5676,0
8384,5676,0
8363,5676,0
5677,5676,0
8341,5676,0
8472,5676,0
8409,5676,0
8402,5676,0
8414,5676,0
33181,5676,0
8353,5676,0
8347,5676,0
8495,5676,0
8421,5676,0
8442,5676,0
8387,5676,0
8391,5676,0
8433,5676,0
8417,5676,0
8309,5676,0
33180,5676,0
48951,5676,0
5684,5676,0
26524,5676,0
8394,5676,0
8321,5676,0
26526,5676,0
5691,5676,0
5674,5676,0
48965,5676,0
8315,5676,0
62589,5676,0
8339,5676,0
8393,5676,0
8313,5676,0
8382,5676,0
8374,5676,0
5695,5676,0
8447,5676,0
8441,5676,0
8480,5676,0
5687,5676,0
5669,5676,0
8466,5676,0
26582,5676,0
8485,5676,0
8376,5676,0
8379,5676,0
8457,5676,0
8415,5676,0
8487,5676,0
26519,5676,0
8427,5676,0
8364,5676,0
8445,5676,0
8449,5676,0
26517,5676,0
8395,5676,0
8418,5676,0
8432,5676,0
5694,5676,0
8490,5676,0
8444,5676,0
5690,5676,0
8443,5676,0
8348,5676,0
26520,5676,0
5670,5676,0
8430,5676,0
8401,5676,0
8370,5676,0
8477,5676,0
5680,5676,0
8439,5676,0
8400,5676,0
8412,5676,0
8372,5676,0
22756,5676,0
5693,5676,0
62598,5676,0
48997,5676,0
49002,5676,0
8494,5676,0
62596,5676,0
5682,5676,0
49000,5676,0
3293,5676,0
8354,5676,0
21790,5676,0
22491,5676,0
48999,5676,0
48998,5676,0
48985,5676,0
49001,5676,0
21791,5676,0
8365,5676,0
48961,5676,0
48962,5676,0
48964,5676,0
48966,5676,0
48967,5676,0
48968,5676,0
48969,5676,0
48970,5676,0
21792,5676,0
48972,5676,0
48973,5676,0
48974,5676,0
48975,5676,0
21797,5676,0
48976,5676,0
21796,5676,0
48977,5676,0
50167,5676,0
48978,5676,0
8323,5676,0
21798,5676,0
26523,5676,0
offshore,5676,0
5675,8340,0
48944,8340,0
50170,8340,0
8475,8340,0
5676,8340,0
8340,8340,0
8435,8340,0
8488,8340,0
48971,8340,0
8474,8340,0
8359,8340,0
8373,8340,0
33176,8340,0
8322,8340,0
8358,8340,0
8411,8340,0
8406,8340,0
8452,8340,0
8460,8340,0
8337,8340,0
8450,8340,0
49003,8340,0
8398,8340,0
8484,8340,0
48948,8340,0
8423,8340,0
48946,8340,0
8476,8340,0
8397,8340,0
8328,8340,0
26518,8340,0
48980,8340,0
48950,8340,0
8371,8340,0
8491,8340,0
48953,8340,0
8356,8340,0
48984,8340,0
8462,8340,0
48954,8340,0
8453,8340,0
8469,8340,0
8385,8340,0
5678,8340,0
8471,8340,0
8405,8340,0
8369,8340,0
8316,8340,0
8312,8340,0
8429,8340,0
5688,8340,0
8454,8340,0
8311,8340,0
8413,8340,0
8360,8340,0
8380,8340,0
48956,8340,0
5696,8340,0
8467,8340,0
8332,8340,0
5683,8340,0
5672,8340,0
8461,8340,0
8355,8340,0
33185,8340,0
48955,8340,0
8392,8340,0
8362,8340,0
8349,8340,0
8478,8340,0
21787,8340,0
8338,8340,0
8326,8340,0
5686,8340,0
33179,8340,0
8459,8340,0
8758,8340,0
8333,8340,0
8361,8340,0
8482,8340,0
8350,8340,0
5689,8340,0
8493,8340,0
8378,8340,0
8396,8340,0
8448,8340,0
8352,8340,0
21803,8340,0
5679,8340,0
5692,8340,0
8426,8340,0
8425,8340,0
5697,8340,0
8346,8340,0
8455,8340,0
8446,8340,0
26521,8340,0
48947,8340,0
21789,8340,0
8486,8340,0
8386,8340,0
5673,8340,0
8470,8340,0
8465,8340,0
5668,8340,0
8473,8340,0
8419,8340,0
8389,8340,0
8310,8340,0
33177,8340,0
8404,8340,0
8468,8340,0
8456,8340,0
8464,8340,0
8327,8340,0
8388,8340,0
8381,8340,0
8319,8340,0
8368,8340,0
8438,8340,0
8403,8340,0
8408,8340,0
8451,8340,0
8324,8340,0
8463,8340,0
48952,8340,0
8479,8340,0
8390,8340,0
8481,8340,0
8325,8340,0
8375,8340,0
8428,8340,0
8440,8340,0
8407,8340,0
8345,8340,0
8366,8340,0
8317,8340,0
8420,8340,0
48943,8340,0
8308,8340,0
33178,8340,0
8424,8340,0
8357,8340,0
8383,8340,0
26522,8340,0
21788,8340,0
8492,8340,0
5681,8340,0
8318,8340,0
8489,8340,0
5685,8340,0
48945,8340,0
8331,8340,0
8343,8340,0
48957,8340,0
8416,8340,0
48982,8340,0
8314,8340,0
8351,8340,0
8431,8340,0
8367,8340,0
8334,8340,0
8437,8340,0
8483,8340,0
8384,8340,0
8363,8340,0
5677,8340,0
8341,8340,0
8472,8340,0
8409,8340,0
8402,8340,0
8414,8340,0
33181,8340,0
8353,8340,0
8347,8340,0
8495,8340,0
8421,8340,0
8442,8340,0
8387,8340,0
8391,8340,0
8433,8340,0
8417,8340,0
8309,8340,0
33180,8340,0
48951,8340,0
5684,8340,0
26524,8340,0
8394,8340,0
8321,8340,0
26526,8340,0
5691,8340,0
5674,8340,0
48965,8340,0
8315,8340,0
62589,8340,0
8339,8340,0
8393,8340,0
8313,8340,0
8382,8340,0
8374,8340,0
5695,8340,0
8447,8340,0
8441,8340,0
8480,8340,0
5687,8340,0
5669,8340,0
8466,8340,0
26582,8340,0
8485,8340,0
8376,8340,0
8379,8340,0
8457,8340,0
8415,8340,0
8487,8340,0
26519,8340,0
8427,8340,0
8364,8340,0
8445,8340,0
8449,8340,0
26517,8340,0
8395,8340,0
8418,8340,0
8432,8340,0
5694,8340,0
8490,8340,0
8444,8340,0
5690,8340,0
8443,8340,0
8348,8340,0
26520,8340,0
5670,8340,0
8430,8340,0
8401,8340,0
8370,8340,0
8477,8340,0
5680,8340,0
8439,8340,0
8400,8340,0
8412,8340,0
8372,8340,0
22756,8340,0
5693,8340,0
62598,8340,0
48997,8340,0
49002,8340,0
8494,8340,0
62596,8340,0
5682,8340,0
49000,8340,0
3293,8340,0
8354,8340,0
21790,8340,0
22491,8340,0
48999,8340,0
48998,8340,0
48985,8340,0
49001,8340,0
21791,8340,0
8365,8340,0
48961,8340,0
48962,8340,0
48964,8340,0
48966,8340,0
48967,8340,0
48968,8340,0
48969,8340,0
48970,8340,0
21792,8340,0
48972,8340,0
48973,8340,0
48974,8340,0
48975,8340,0
21797,8340,0
48976,8340,0
21796,8340,0
48977,8340,0
50167,8340,0
48978,8340,0
8323,8340,0
21798,8340,0
26523,8340,0
offshore,8340,0
5675,8435,0
48944,8435,0
50170,8435,0
8475,8435,0
5676,8435,0
8340,8435,0
8435,8435,0
8488,8435,0
48971,8435,0
8474,8435,0
8359,8435,0
8373,8435,0
33176,8435,0
8322,8435,0
8358,8435,0
8411,8435,0
8406,8435,0
8452,8435,0
8460,8435,0
8337,8435,0
8450,8435,0
49003,8435,0
8398,8435,0
8484,8435,0
48948,8435,0
8423,8435,0
48946,8435,0
8476,8435,0
8397,8435,0
8328,8435,0
26518,8435,0
48980,8435,0
48950,8435,0
8371,8435,0
8491,8435,0
48953,8435,0
8356,8435,0
48984,8435,0
8462,8435,0
48954,8435,0
8453,8435,0
8469,8435,0
8385,8435,0
5678,8435,0
8471,8435,0
8405,8435,0
8369,8435,0
8316,8435,0
8312,8435,0
8429,8435,0
5688,8435,0
8454,8435,0
8311,8435,0
8413,8435,0
8360,8435,0
